strategy,deck.number,bet.ratio,set amount,remaining.stakes
Basic,1,0.01,50,5325
Basic,1,0.01,50,4400
Basic,1,0.01,50,4175
Basic,1,0.01,50,4775
Basic,1,0.01,50,5125
Basic,1,0.01,50,5000
Basic,1,0.01,50,4400
Basic,1,0.01,50,4625
Basic,1,0.01,50,5350
Basic,1,0.01,50,4800
Basic,1,0.02,100,4100
Basic,1,0.02,100,4650
Basic,1,0.02,100,5550
Basic,1,0.02,100,4500
Basic,1,0.02,100,6150
Basic,1,0.02,100,3550
Basic,1,0.02,100,5200
Basic,1,0.02,100,6000
Basic,1,0.02,100,5300
Basic,1,0.02,100,4500
Basic,1,0.03,150,5225
Basic,1,0.03,150,7025
Basic,1,0.03,150,2975
Basic,1,0.03,150,7250
Basic,1,0.03,150,3950
Basic,1,0.03,150,5075
Basic,1,0.03,150,2750
Basic,1,0.03,150,6500
Basic,1,0.03,150,6125
Basic,1,0.03,150,5900
Basic,6,0.01,50,4950
Basic,6,0.01,50,5050
Basic,6,0.01,50,4625
Basic,6,0.01,50,5100
Basic,6,0.01,50,6300
Basic,6,0.01,50,4600
Basic,6,0.01,50,5075
Basic,6,0.01,50,4350
Basic,6,0.01,50,5025
Basic,6,0.01,50,4475
Basic,6,0.02,100,7100
Basic,6,0.02,100,6400
Basic,6,0.02,100,4650
Basic,6,0.02,100,4650
Basic,6,0.02,100,5100
Basic,6,0.02,100,5800
Basic,6,0.02,100,3700
Basic,6,0.02,100,5800
Basic,6,0.02,100,6150
Basic,6,0.02,100,3850
Basic,6,0.03,150,4925
Basic,6,0.03,150,6575
Basic,6,0.03,150,4625
Basic,6,0.03,150,5225
Basic,6,0.03,150,5750
Basic,6,0.03,150,5825
Basic,6,0.03,150,2975
Basic,6,0.03,150,6425
Basic,6,0.03,150,6725
Basic,6,0.03,150,6200
Dealer,1,0.01,50,5150
Dealer,1,0.01,50,4525
Dealer,1,0.01,50,5050
Dealer,1,0.01,50,4625
Dealer,1,0.01,50,4500
Dealer,1,0.01,50,4350
Dealer,1,0.01,50,5150
Dealer,1,0.01,50,5275
Dealer,1,0.01,50,5200
Dealer,1,0.01,50,4800
Dealer,1,0.02,100,3850
Dealer,1,0.02,100,3500
Dealer,1,0.02,100,6050
Dealer,1,0.02,100,4450
Dealer,1,0.02,100,5300
Dealer,1,0.02,100,3700
Dealer,1,0.02,100,5450
Dealer,1,0.02,100,4600
Dealer,1,0.02,100,3200
Dealer,1,0.02,100,3900
Dealer,1,0.03,150,4400
Dealer,1,0.03,150,1925
Dealer,1,0.03,150,3575
Dealer,1,0.03,150,3425
Dealer,1,0.03,150,4475
Dealer,1,0.03,150,4325
Dealer,1,0.03,150,6050
Dealer,1,0.03,150,5225
Dealer,1,0.03,150,4475
Dealer,1,0.03,150,4550
Dealer,6,0.01,50,4700
Dealer,6,0.01,50,4400
Dealer,6,0.01,50,4375
Dealer,6,0.01,50,4100
Dealer,6,0.01,50,4525
Dealer,6,0.01,50,5125
Dealer,6,0.01,50,5225
Dealer,6,0.01,50,5075
Dealer,6,0.01,50,5025
Dealer,6,0.01,50,4125
Dealer,6,0.02,100,5750
Dealer,6,0.02,100,4000
Dealer,6,0.02,100,4850
Dealer,6,0.02,100,3850
Dealer,6,0.02,100,3300
Dealer,6,0.02,100,5400
Dealer,6,0.02,100,4900
Dealer,6,0.02,100,3250
Dealer,6,0.02,100,5200
Dealer,6,0.02,100,4950
Dealer,6,0.03,150,5750
Dealer,6,0.03,150,2750
Dealer,6,0.03,150,3800
Dealer,6,0.03,150,2750
Dealer,6,0.03,150,6725
Dealer,6,0.03,150,2600
Dealer,6,0.03,150,5000
Dealer,6,0.03,150,5300
Dealer,6,0.03,150,3200
Dealer,6,0.03,150,5225
Random,1,0.01,50,4600
Random,1,0.01,50,4275
Random,1,0.01,50,4500
Random,1,0.01,50,3800
Random,1,0.01,50,5100
Random,1,0.01,50,4275
Random,1,0.01,50,4800
Random,1,0.01,50,4800
Random,1,0.01,50,4100
Random,1,0.01,50,4950
Random,1,0.02,100,4450
Random,1,0.02,100,5500
Random,1,0.02,100,3950
Random,1,0.02,100,3800
Random,1,0.02,100,4400
Random,1,0.02,100,3800
Random,1,0.02,100,3850
Random,1,0.02,100,4900
Random,1,0.02,100,4600
Random,1,0.02,100,4150
Random,1,0.03,150,3425
Random,1,0.03,150,6950
Random,1,0.03,150,4400
Random,1,0.03,150,1925
Random,1,0.03,150,800
Random,1,0.03,150,4475
Random,1,0.03,150,4775
Random,1,0.03,150,6500
Random,1,0.03,150,1700
Random,1,0.03,150,5450
Random,6,0.01,50,4350
Random,6,0.01,50,4575
Random,6,0.01,50,3875
Random,6,0.01,50,4400
Random,6,0.01,50,4200
Random,6,0.01,50,4125
Random,6,0.01,50,4800
Random,6,0.01,50,4625
Random,6,0.01,50,4450
Random,6,0.01,50,5150
Random,6,0.02,100,4600
Random,6,0.02,100,5500
Random,6,0.02,100,4250
Random,6,0.02,100,3500
Random,6,0.02,100,4700
Random,6,0.02,100,3550
Random,6,0.02,100,4050
Random,6,0.02,100,4200
Random,6,0.02,100,5300
Random,6,0.02,100,4600
Random,6,0.03,150,4700
Random,6,0.03,150,1850
Random,6,0.03,150,725
Random,6,0.03,150,50
Random,6,0.03,150,3050
Random,6,0.03,150,875
Random,6,0.03,150,2450
Random,6,0.03,150,4850
Random,6,0.03,150,1700
Random,6,0.03,150,2150
NN ,1,0.01,50,4225
NN ,1,0.01,50,5500
NN ,1,0.01,50,4400
NN ,1,0.01,50,4625
NN ,1,0.01,50,4600
NN ,1,0.01,50,5050
NN ,1,0.01,50,5275
NN ,1,0.01,50,5275
NN ,1,0.01,50,4775
NN ,1,0.01,50,3925
NN ,1,0.02,100,3800
NN ,1,0.02,100,3150
NN ,1,0.02,100,1100
NN ,1,0.02,100,3850
NN ,1,0.02,100,3750
NN ,1,0.02,100,3400
NN ,1,0.02,100,2950
NN ,1,0.02,100,4200
NN ,1,0.02,100,3800
NN ,1,0.02,100,3100
NN ,1,0.03,150,4400
NN ,1,0.03,150,5525
NN ,1,0.03,150,3200
NN ,1,0.03,150,3875
NN ,1,0.03,150,3650
NN ,1,0.03,150,1025
NN ,1,0.03,150,2675
NN ,1,0.03,150,5600
NN ,1,0.03,150,1475
NN ,1,0.03,150,3875
NN ,6,0.01,50,4225
NN ,6,0.01,50,4700
NN ,6,0.01,50,4900
NN ,6,0.01,50,4225
NN ,6,0.01,50,4400
NN ,6,0.01,50,4175
NN ,6,0.01,50,4550
NN ,6,0.01,50,4525
NN ,6,0.01,50,3825
NN ,6,0.01,50,4650
NN ,6,0.02,100,3500
NN ,6,0.02,100,3450
NN ,6,0.02,100,3900
NN ,6,0.02,100,4350
NN ,6,0.02,100,2000
NN ,6,0.02,100,2300
NN ,6,0.02,100,2300
NN ,6,0.02,100,4450
NN ,6,0.02,100,4800
NN ,6,0.02,100,4800
NN ,6,0.03,150,5750
NN ,6,0.03,150,2975
NN ,6,0.03,150,4250
NN ,6,0.03,150,5300
NN ,6,0.03,150,7400
NN ,6,0.03,150,1850
NN ,6,0.03,150,4025
NN ,6,0.03,150,1775
NN ,6,0.03,150,4850
NN ,6,0.03,150,50
